transaction_id,user_id,transaction_amount,transaction_time,is_fraud
1,1102,235.64116382988513,2025-01-01 00:00:00,0
2,1435,141.5712027412875,2025-01-01 01:00:00,0
3,1860,1888.5522007214674,2025-01-01 02:00:00,0
4,1270,4054.6611206013463,2025-01-01 03:00:00,0
5,1106,4936.507885281573,2025-01-01 04:00:00,0
6,1071,760.5802866066057,2025-01-01 05:00:00,0
7,1700,2974.712269607154,2025-01-01 06:00:00,0
8,1020,1910.6453745887973,2025-01-01 07:00:00,0
9,1614,4849.87284509487,2025-01-01 08:00:00,0
10,1121,4212.173426447186,2025-01-01 09:00:00,0
11,1466,4193.260236508578,2025-01-01 10:00:00,0
12,1214,2348.778867376902,2025-01-01 11:00:00,0
13,1330,2079.949316664949,2025-01-01 12:00:00,0
14,1458,1374.3012889342242,2025-01-01 13:00:00,0
15,1087,291.3137282881263,2025-01-01 14:00:00,0
16,1372,4324.964657512715,2025-01-01 15:00:00,0
17,1099,4066.376035559087,2025-01-01 16:00:00,0
18,1871,4998.591189697791,2025-01-01 17:00:00,0
19,1663,4983.217816998788,2025-01-01 18:00:00,0
20,1130,2781.604210957111,2025-01-01 19:00:00,0
21,1661,3847.2472017507475,2025-01-01 20:00:00,0
22,1308,4724.380992113316,2025-01-01 21:00:00,0
23,1769,4249.740479480283,2025-01-01 22:00:00,0
24,1343,1244.2670276985564,2025-01-01 23:00:00,0
25,1491,2258.215235197367,2025-01-02 00:00:00,0
26,1413,654.50548160596,2025-01-02 01:00:00,0
27,1805,4770.714626021025,2025-01-02 02:00:00,0
28,1385,3034.8114259098916,2025-01-02 03:00:00,0
29,1191,1150.927599462279,2025-01-02 04:00:00,0
30,1955,3361.786415185225,2025-01-02 05:00:00,0
31,1276,3094.4599198849,2025-01-02 06:00:00,1
32,1160,1797.2319629838742,2025-01-02 07:00:00,0
33,1459,576.6523850761488,2025-01-02 08:00:00,0
34,1313,3361.15024600807,2025-01-02 09:00:00,0
35,1021,2606.3354275099286,2025-01-02 10:00:00,0
36,1252,3863.86877476084,2025-01-02 11:00:00,0
37,1747,2605.615870548847,2025-01-02 12:00:00,1
38,1856,4262.385686589515,2025-01-02 13:00:00,0
39,1560,2764.015125484683,2025-01-02 14:00:00,0
40,1474,2809.0804779615773,2025-01-02 15:00:00,0
41,1058,4384.501477265142,2025-01-02 16:00:00,0
42,1510,2023.3795023998612,2025-01-02 17:00:00,0
43,1681,678.7359899686973,2025-01-02 18:00:00,0
44,1475,153.62555480356147,2025-01-02 19:00:00,0
45,1699,3778.1349058113587,2025-01-02 20:00:00,0
46,1975,3105.3446612537887,2025-01-02 21:00:00,0
47,1782,3523.358042815126,2025-01-02 22:00:00,0
48,1189,1072.6911659294647,2025-01-02 23:00:00,0
49,1957,690.4936631779811,2025-01-03 00:00:00,0
50,1686,82.57788168273082,2025-01-03 01:00:00,0
51,1957,1759.431918444919,2025-01-03 02:00:00,0
52,1562,2953.689257404619,2025-01-03 03:00:00,0
53,1875,1967.2977850476643,2025-01-03 04:00:00,0
54,1566,2192.999860898408,2025-01-03 05:00:00,0
55,1243,4521.751885523805,2025-01-03 06:00:00,0
56,1831,1747.7947804462688,2025-01-03 07:00:00,0
57,1504,2574.807550907456,2025-01-03 08:00:00,0
58,1130,3920.428533578304,2025-01-03 09:00:00,0
59,1484,1988.748483783138,2025-01-03 10:00:00,0
60,1818,3114.2126341370886,2025-01-03 11:00:00,0
61,1646,4313.1949066462585,2025-01-03 12:00:00,0
62,1020,4748.107912051634,2025-01-03 13:00:00,0
63,1840,743.8966698358993,2025-01-03 14:00:00,0
64,1166,4633.672249555857,2025-01-03 15:00:00,0
65,1273,2465.6603024668957,2025-01-03 16:00:00,0
66,1387,1298.6394976118022,2025-01-03 17:00:00,0
67,1600,2301.0874236289237,2025-01-03 18:00:00,0
68,1315,4900.36255067453,2025-01-03 19:00:00,0
69,1013,2468.1642890244193,2025-01-03 20:00:00,0
70,1241,1650.470535334666,2025-01-03 21:00:00,0
71,1776,3170.6702630404616,2025-01-03 22:00:00,1
72,1345,1208.3266377031835,2025-01-03 23:00:00,0
73,1564,388.55800726223293,2025-01-04 00:00:00,0
74,1897,653.1098123341396,2025-01-04 01:00:00,0
75,1339,648.9487363992845,2025-01-04 02:00:00,0
76,1091,767.9944406263488,2025-01-04 03:00:00,0
77,1366,702.7475915205566,2025-01-04 04:00:00,0
78,1955,3207.964976568041,2025-01-04 05:00:00,1
79,1454,917.5816211517326,2025-01-04 06:00:00,0
80,1427,1734.8797437860774,2025-01-04 07:00:00,0
81,1508,4484.974165430999,2025-01-04 08:00:00,0
82,1775,2375.068584911733,2025-01-04 09:00:00,0
83,1942,3341.1131152199255,2025-01-04 10:00:00,0
84,1034,869.8761572961329,2025-01-04 11:00:00,0
85,1205,969.5222038552672,2025-01-04 12:00:00,0
86,1080,213.93439516972953,2025-01-04 13:00:00,0
87,1931,852.985964730101,2025-01-04 14:00:00,0
88,1561,1400.1657917694736,2025-01-04 15:00:00,0
89,1871,893.2823165409666,2025-01-04 16:00:00,0
90,1387,452.6256434477075,2025-01-04 17:00:00,0
91,1001,611.9729967919981,2025-01-04 18:00:00,0
92,1389,2309.286052483302,2025-01-04 19:00:00,0
